Fecha,Impresiones,Interacciones
18/11/2024,119,2
19/11/2024,125,3
20/11/2024,65,0
21/11/2024,141,3
22/11/2024,292,9
23/11/2024,92,1
24/11/2024,88,3
25/11/2024,117,4
26/11/2024,86,4
27/11/2024,83,1
28/11/2024,74,1
29/11/2024,52,0
30/11/2024,14,2
1/12/2024,40,0
2/12/2024,44,0
3/12/2024,58,2
4/12/2024,55,0
5/12/2024,40,0
6/12/2024,27,0
7/12/2024,23,0
8/12/2024,15,0
9/12/2024,15,0
10/12/2024,24,0
11/12/2024,21,0
12/12/2024,21,0
13/12/2024,22,0
14/12/2024,16,0
15/12/2024,14,0
16/12/2024,29,1
17/12/2024,16,1
18/12/2024,25,0
19/12/2024,18,0
20/12/2024,4,0
21/12/2024,4,0
22/12/2024,14,0
23/12/2024,2,0
24/12/2024,9,0
25/12/2024,1,0
26/12/2024,6,0
27/12/2024,1220,54
28/12/2024,153,1
29/12/2024,92,1
30/12/2024,131,2
31/12/2024,50,1
1/1/2025,27,0
2/1/2025,49,0
3/1/2025,235,14
4/1/2025,655,34
5/1/2025,159,5
6/1/2025,202,7
7/1/2025,120,5
8/1/2025,105,1
9/1/2025,74,2
10/1/2025,73,1
11/1/2025,42,0
12/1/2025,124,1
13/1/2025,65,0
14/1/2025,80,0
15/1/2025,72,1
16/1/2025,57,0
17/1/2025,82,3
18/1/2025,31,0
19/1/2025,30,2
20/1/2025,33,-1
21/1/2025,33,0
22/1/2025,30,0
23/1/2025,52,3
24/1/2025,14,0
25/1/2025,1014,63
26/1/2025,304,15
27/1/2025,179,5
28/1/2025,97,6
29/1/2025,85,6
30/1/2025,49,1
31/1/2025,40,0
1/2/2025,22,1
2/2/2025,21,2
3/2/2025,34,0
4/2/2025,53,1
5/2/2025,32,0
6/2/2025,36,0
7/2/2025,51,2
8/2/2025,27,2
9/2/2025,9,0
10/2/2025,34,1
11/2/2025,56,4
12/2/2025,37,0
13/2/2025,17,2
14/2/2025,25,0
15/2/2025,251,5
16/2/2025,79,0
17/2/2025,218,3
18/2/2025,55,0
19/2/2025,39,0
20/2/2025,180,5
21/2/2025,89,1
22/2/2025,540,20
23/2/2025,256,1
24/2/2025,204,2
25/2/2025,157,5
26/2/2025,191,2
27/2/2025,89,2
28/2/2025,605,17
1/3/2025,747,21
2/3/2025,4521,57
3/3/2025,4290,39
4/3/2025,4390,70
5/3/2025,2731,15
6/3/2025,1698,13
7/3/2025,1165,12
8/3/2025,202,1
9/3/2025,803,27
10/3/2025,1134,22
11/3/2025,473,3
12/3/2025,169,0
13/3/2025,124,2
14/3/2025,110,0
15/3/2025,243,10
16/3/2025,983,24
17/3/2025,802,12
18/3/2025,468,4
19/3/2025,486,3
20/3/2025,266,4
21/3/2025,153,0
22/3/2025,88,2
23/3/2025,1370,35
24/3/2025,2437,39
25/3/2025,1168,20
26/3/2025,1138,15
27/3/2025,804,7
28/3/2025,382,0
29/3/2025,814,20
30/3/2025,1991,42
31/3/2025,371,7
1/4/2025,188,2
2/4/2025,166,4
3/4/2025,109,3
4/4/2025,94,0
5/4/2025,637,22
6/4/2025,803,16
7/4/2025,687,9
8/4/2025,325,3
9/4/2025,194,3
10/4/2025,86,2
11/4/2025,55,0
12/4/2025,1426,40
13/4/2025,2408,53
14/4/2025,596,13
15/4/2025,324,7
16/4/2025,371,5
17/4/2025,174,2
18/4/2025,469,17
19/4/2025,349,5
20/4/2025,167,3
21/4/2025,217,15
22/4/2025,135,1
23/4/2025,155,2
24/4/2025,1145,34
25/4/2025,916,39
26/4/2025,1642,32
27/4/2025,364,5
28/4/2025,529,12
29/4/2025,421,8
30/4/2025,247,5
1/5/2025,551,18
2/5/2025,669,21
3/5/2025,382,19
4/5/2025,2907,77
5/5/2025,641,22
6/5/2025,355,11
7/5/2025,179,0
8/5/2025,145,4
9/5/2025,146,1
10/5/2025,116,5
11/5/2025,93,2
12/5/2025,111,4
13/5/2025,83,0
14/5/2025,949,65
15/5/2025,263,9
16/5/2025,107,1
17/5/2025,92,6
18/5/2025,88,2
19/5/2025,110,4
20/5/2025,140,2
21/5/2025,70,0
22/5/2025,71,0
23/5/2025,51,0
24/5/2025,55,0
25/5/2025,52,0
26/5/2025,45,0
27/5/2025,48,0
28/5/2025,50,1
29/5/2025,38,0
30/5/2025,157,0
31/5/2025,65,0
1/6/2025,31,0
2/6/2025,30,3
3/6/2025,42,0
4/6/2025,32,0
5/6/2025,24,0
6/6/2025,27,0
7/6/2025,24,0
8/6/2025,12,0
9/6/2025,39,0
10/6/2025,31,0
11/6/2025,59,2
12/6/2025,38,0
13/6/2025,13,0
14/6/2025,1,0
15/6/2025,3,0
16/6/2025,13,0
17/6/2025,7,0
18/6/2025,12,0
19/6/2025,14,0
20/6/2025,3,0
21/6/2025,173,5
22/6/2025,58,4
23/6/2025,45,1
24/6/2025,32,1
25/6/2025,37,0
26/6/2025,29,2
27/6/2025,18,0
28/6/2025,19,1
29/6/2025,7,0
30/6/2025,11,0
1/7/2025,11,1
2/7/2025,8,0
3/7/2025,3,0
4/7/2025,21,1
5/7/2025,24,0
6/7/2025,7,0
7/7/2025,51,2
8/7/2025,21,0
9/7/2025,16,0
10/7/2025,21,1
11/7/2025,16,1
12/7/2025,4,0
13/7/2025,6,0
14/7/2025,19,0
15/7/2025,14,1
16/7/2025,21,0
17/7/2025,4,0
18/7/2025,4,0
19/7/2025,4,0
20/7/2025,6,0
21/7/2025,2,0
22/7/2025,98,0
23/7/2025,23,0
24/7/2025,9,0
25/7/2025,12,0
26/7/2025,3,0
27/7/2025,17,1
28/7/2025,15,0
29/7/2025,14,0
30/7/2025,6,0
31/7/2025,2,0
1/8/2025,5,0
2/8/2025,9,0
3/8/2025,6,0
4/8/2025,5,0
5/8/2025,6,0
6/8/2025,3,0
7/8/2025,3,0
8/8/2025,17,0
9/8/2025,0,0
10/8/2025,8,0
11/8/2025,15,1
12/8/2025,6,0
13/8/2025,6,0
14/8/2025,4,0
15/8/2025,2,0
16/8/2025,1373,32
17/8/2025,532,15
18/8/2025,250,8
19/8/2025,145,5
20/8/2025,105,1
21/8/2025,69,1
22/8/2025,1731,75
23/8/2025,1190,37
24/8/2025,856,23
25/8/2025,384,8
26/8/2025,229,5
27/8/2025,120,1
28/8/2025,83,3
29/8/2025,87,0
30/8/2025,33,2
31/8/2025,22,0
1/9/2025,49,1
2/9/2025,50,3
3/9/2025,45,1
4/9/2025,40,3
5/9/2025,28,0
6/9/2025,11,0
7/9/2025,85,2
8/9/2025,138,0
9/9/2025,163,2
10/9/2025,123,6
11/9/2025,111,3
12/9/2025,94,0
13/9/2025,56,1
14/9/2025,48,1
15/9/2025,37,1
16/9/2025,15,0
17/9/2025,21,0
18/9/2025,14,0
19/9/2025,39,1
20/9/2025,1944,87
21/9/2025,737,18
22/9/2025,241,11
23/9/2025,216,8
24/9/2025,136,2
25/9/2025,212,5
26/9/2025,139,3
27/9/2025,550,35
28/9/2025,507,12
29/9/2025,499,17
30/9/2025,321,5
1/10/2025,89,0
2/10/2025,386,7
3/10/2025,201,3
4/10/2025,50,0
5/10/2025,59,1
6/10/2025,59,1
7/10/2025,276,10
8/10/2025,219,5
9/10/2025,120,1
10/10/2025,158,2
11/10/2025,957,35
12/10/2025,539,13
13/10/2025,392,7
14/10/2025,189,2
15/10/2025,606,19
16/10/2025,548,12
17/10/2025,256,5
18/10/2025,621,15
19/10/2025,460,14
20/10/2025,353,8
21/10/2025,279,4
22/10/2025,108,2
23/10/2025,140,1
24/10/2025,65,0
25/10/2025,963,39
26/10/2025,208,8
27/10/2025,199,6
28/10/2025,118,2
29/10/2025,67,1
30/10/2025,64,1
31/10/2025,49,2
1/11/2025,19,4
2/11/2025,21,0
3/11/2025,127,8
4/11/2025,37,0
5/11/2025,43,0
6/11/2025,33,0
7/11/2025,56,0
8/11/2025,755,35
9/11/2025,666,11
10/11/2025,915,11
11/11/2025,1050,17
12/11/2025,756,2
13/11/2025,297,1
14/11/2025,419,4
15/11/2025,656,19
16/11/2025,441,9
17/11/2025,18,0